Row Labels,Count of Date of Birth
'05 Jun 1988,64
'05 Jun 1989,63
'02 Jun 1988,62
'05 Jun 1990,60
'10 May 1989,53
'15 Jun 1990,53
'03 Jun 1989,52
'03 Jun 1988,51
'02 Jun 1989,51
'10 Jun 1989,50
'01 Jun 1988,49
'15 May 1989,49
'10 May 1988,48
'04 Jun 1991,48
'01 Jun 1990,48
'10 May 1990,47
'25 May 1989,47
'10 Jun 1988,46
'15 May 1986,45
'20 May 1988,45
'05 Jun 1991,45
'10 Jun 1987,44
'01 Jun 1989,44
'15 May 1987,44
'05 May 1988,44
'05 Jun 1986,42
'07 Jun 1989,42
'12 May 1989,42
'30 May 1991,42
'25 May 1987,42
'30 May 1987,42
'06 Jun 1989,42
'04 Jun 1986,41
'02 Jun 1991,41
'01 Jun 1987,41
'15 Jun 1988,41
'15 May 1988,41
'15 May 1991,41
'09 Jun 1988,41
'02 Jun 1987,40
'02 Jun 1986,40
'20 May 1990,40
'05 Jun 1987,40
'10 Apr 1989,40
'03 Jun 1987,39
'15 Jun 1991,39
'15 Jun 1989,39
'01 Jun 1991,39
'03 Jun 1991,39
'10 May 1987,38
'25 May 1988,38
'04 Jun 1989,38
'10 Jun 1991,38
'25 May 1991,37
'07 Jun 1990,37
'28 May 1989,37
'10 Jun 1990,37
'06 May 1988,37
'30 May 1990,37
'10 Jun 1986,37
'20 Jun 1987,36
'02 Jun 1990,36
'07 Jun 1988,36
'04 Jun 1988,36
'29 May 1989,36
'05 May 1989,35
'04 Jun 1990,35
'17 May 1988,35
'27 May 1987,35
'05 Jun 1985,34
'06 May 1990,34
'20 May 1989,34
'30 May 1989,34
'05 May 1991,34
'05 May 1990,34
'01 May 1989,34
'03 Jun 1990,33
'25 May 1990,33
'12 Jun 1990,33
'20 Jun 1989,33
'15 Apr 1990,33
'20 Jun 1990,33
'16 May 1990,32
'05 May 1987,32
'01 Jan 1990,32
'12 Jun 1991,32
'15 Apr 1989,32
'20 Apr 1987,32
'01 Jun 1986,32
'27 May 1989,32
'20 Jun 1991,32
'10 May 1986,32
'21 May 1989,31
'31 Jul 1990,31
'12 Jun 1987,31
'09 May 1988,31
'07 Jun 1987,31
'01 May 1988,31
'05 Mar 1990,31
'26 May 1987,30
'10 May 1991,30
'15 Jun 1986,30
'14 Jun 1989,30
'15 Jun 1987,30
'15 May 1990,30
'30 Jul 1989,30
'01 May 1991,30
'04 Jun 1987,30
'06 Apr 1988,30
'23 May 1988,29
'17 Jun 1989,29
'07 Jun 1986,29
'09 Jun 1989,29
'10 Apr 1990,29
'16 May 1991,29
'25 Jun 1988,29
'07 May 1988,29
'11 Jun 1990,29
