SL. No,Month,Goods & Service Tax for the year 2022-23(Rs in Crore), Karnataka Sales Tax for the year 2022-23(Rs in Crore),Profession Tax for the  year 2022-23(Rs in Crore)
1,April,5205.6,1602.64,163.36
2,May,12814.71,1635.32,106.87
3,June,5229.47,1689.18,99.67
4,July,4721.38,1645.65,103.87
5,August,4627.45,"1462.02	",102.14
6,September,4612.92,1505.59,107.21
7,October,6535.64,1459.8,104.56
8,November,6853.53,1524.27,108.08
9,December,5217.78,1585.95,107.68
10,January,5736.64,1716.53,108
11,February,14912.49,1679.85,107.1
12,March,NA,NA,NA
