Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Block_Name,School_Management_Id,School_Management_Name,School_Category_Id,School_Category_Name,Academic_Qualification_Id,Academic_Qualification_Name,Professional_Qualification_Id,Professional_Qualification_Name,Only_Pre_Primary_Male,Only_Pre_Primary_Female,Pre_Primary_and_Primary_Male,Pre_Primary_and_Primary_Female,Only_Primary_Male,Only_Primary_Female,Primary_and_Upperprimary_Male,Primary_and_Upperprimary_Female,Only_Upperprimary_Male,Only_Upperprimary_Female,Upperprimary_and_Secondary_Male,Upperprimary_and_Secondary_Female,Only_Secondary_Male,Only_Secondary_Female,Secondary_and_Highersecondary_Male,Secondary_and_Highersecondary_Female,Only_Highersecondary_Male,Only_Highersecondary_Female,Total_Teacher,Total_Male,Total_Female
2019-20,19,West Bengal,1916,HOWRAH,191604,BAGNAN-II,1,Department of Education,1,PS (I-V),1,Below Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1
2019-20,19,West Bengal,1916,HOWRAH,191607,ULUBERIA-II,1,Department of Education,1,PS (I-V),1,Below Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191609,JAGATBALLAVPUR,1,Department of Education,1,PS (I-V),1,Below Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
2019-20,19,West Bengal,1916,HOWRAH,191611,SHYAMPUR-II,1,Department of Education,1,PS (I-V),1,Below Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,19,West Bengal,1916,HOWRAH,191612,PANCHLA,1,Department of Education,1,PS (I-V),1,Below Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,19,West Bengal,1916,HOWRAH,191614,DOMJUR,1,Department of Education,1,PS (I-V),1,Below Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2019-20,19,West Bengal,1916,HOWRAH,191615,HOWRAH MUNICIPAL CORPORATION,1,Department of Education,1,PS (I-V),1,Below Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191617,ULUBERIA MUNICIPALITY,1,Department of Education,1,PS (I-V),1,Below Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191611,SHYAMPUR-II,1,Department of Education,1,PS (I-V),1,Below Secondary,3,B.Ed. or equivalent,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,19,West Bengal,1916,HOWRAH,191607,ULUBERIA-II,1,Department of Education,1,PS (I-V),1,Below Secondary,4,M.Ed. or equivalent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191611,SHYAMPUR-II,1,Department of Education,1,PS (I-V),1,Below Secondary,5,Others,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191617,ULUBERIA MUNICIPALITY,1,Department of Education,1,PS (I-V),1,Below Secondary,5,Others,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,19,West Bengal,1916,HOWRAH,191606,ULUBERIA-I,1,Department of Education,1,PS (I-V),1,Below Secondary,6,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,19,West Bengal,1916,HOWRAH,191615,HOWRAH MUNICIPAL CORPORATION,1,Department of Education,4,UPS (VI-VIII),1,Below Secondary,6,None,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191601,AMTA-I,1,Department of Education,1,PS (I-V),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,2
2019-20,19,West Bengal,1916,HOWRAH,191602,AMTA-II,1,Department of Education,1,PS (I-V),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,3
2019-20,19,West Bengal,1916,HOWRAH,191603,BAGNAN-I,1,Department of Education,1,PS (I-V),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,7
2019-20,19,West Bengal,1916,HOWRAH,191604,BAGNAN-II,1,Department of Education,1,PS (I-V),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
2019-20,19,West Bengal,1916,HOWRAH,191605,BALLY- JAGACHA,1,Department of Education,1,PS (I-V),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3
2019-20,19,West Bengal,1916,HOWRAH,191606,ULUBERIA-I,1,Department of Education,1,PS (I-V),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3
2019-20,19,West Bengal,1916,HOWRAH,191607,ULUBERIA-II,1,Department of Education,1,PS (I-V),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,14,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,9
2019-20,19,West Bengal,1916,HOWRAH,191608,UDAYNARAYANPUR,1,Department of Education,1,PS (I-V),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191609,JAGATBALLAVPUR,1,Department of Education,1,PS (I-V),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,31,14,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,48,21
2019-20,19,West Bengal,1916,HOWRAH,191610,SHYAMPUR-I,1,Department of Education,1,PS (I-V),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
